,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Meu Pedaço de Pecado","João Gomes",1074156,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
2,MORENA,"Luan Santana",764768,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
3,"Aquelas Coisas","João Gomes",743040,https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M
4,"Ficha Limpa","Gusttavo Lima",708847,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
5,"Se For Amor","João Gomes",704326,https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw
6,"Baby Me Atende","Matheus Fernandes",656963,https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7
7,"Não, Não Vou","Mari Fernandez",600076,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
8,"Não Nasceu pra Namorar","MC Zaquin",570917,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
9,penhasco.,"Luísa Sonza",529196,https://open.spotify.com/track/5VTqW8raQYnj2avZ27nO2a
10,Rolê,"Tarcísio do Acordeon",529064,https://open.spotify.com/track/25141FAgU1OmwoC9W2i5E3
11,Beggin',Måneskin,527355,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
12,"Se Joga no Passinho","Brisa Star",515812,https://open.spotify.com/track/41pFFOnh1glVNIlrWOpBjb
13,"Zero Saudade - Ao Vivo","Os Barões Da Pisadinha",514306,https://open.spotify.com/track/1oIqP923yBKV45IaXm5s14
14,"Faz Amor Comigo Só Hoje - Ao Vivo","Israel & Rodolffo",508325,https://open.spotify.com/track/7Kba4OaxQFQ1zlknQUpNqN
15,Bipolar,"Mc Davi",497518,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
16,"Só Não Divulga","Fernando & Sorocaba",472224,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
17,Troca,"Jorge & Mateus",456692,https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
18,"A Cara do Crime (Nós Incomoda)","Mc Poze do Rodo",454908,https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza
19,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",432516,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
20,"Vida Louca","Mc Poze do Rodo",407076,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
21,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",403784,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
22,Passatempo,"Wesley Safadão",395391,https://open.spotify.com/track/3ibiPPqHxdmX4nNp4kNHE9
23,"Eu Tenho a Senha","João Gomes",385415,https://open.spotify.com/track/2YBKO08Wkc3eP5JdUSwng8
24,"Volta Rapariga","Vitinho Imperador",380057,https://open.spotify.com/track/3CUPWFarYwA0HJQqzje4UD
25,"Poesia Acústica 11: Nada Mudou","Pineapple StormTv",364243,https://open.spotify.com/track/6giaOyDFbE4J8iclhCdW7E
26,"Chamo Teu Vulgo Malvadão","mc jhenny",363594,https://open.spotify.com/track/4mdlehe2znCTAzlFhrOa09
27,Vagabundo,"Matheus & Kauan",358511,https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia
28,"Senta Danada","Zé Felipe",354956,https://open.spotify.com/track/2R9IrE42Mw4zdUXAEFNiZL
