url;img;position;track;artists
https://open.spotify.com/track/23E53f3C9SJ9MqBh1f6hEw;https://i.scdn.co/image/ab67616d00004851fbd64deff8b6ca0fcc03bdb5;1;Juramento eterno de sal;['Álvaro De Luna']
https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k;https://i.scdn.co/image/ab67616d00004851c77a01f0166fd8343d3a3edb;2;Pepas;['Farruko']
https://open.spotify.com/track/4lGOHDJr4PvUguwpMxjzlu;https://i.scdn.co/image/ab67616d0000485142bb249f7b313a2e2021bb91;3;FVN!;['LVL1']
https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX;https://i.scdn.co/image/ab67616d000048518e6551a2944764bc8e33a960;4;STAY (with Justin Bieber);['The Kid LAROI']
https://open.spotify.com/track/57rx7d5tagl2wOWzj3eWJc;https://i.scdn.co/image/ab67616d00004851bca59a19e42833145d9e4e57;5;Moça;['Ivandro']
https://open.spotify.com/track/1Adhz5VVDZxhojOLfQQUxa;https://i.scdn.co/image/ab67616d000048512d18ce80f8d2e26721b725ef;6;Not Around;['Nova']
https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd;https://i.scdn.co/image/ab67616d00004851e4ba474c74e6b24ba18d7c8b;7;MORENA;['Luan Santana']
https://open.spotify.com/track/3DICBZOMaEWbCxwUfPGcE5;https://i.scdn.co/image/ab67616d000048519b84fb41222f14328b9bc8ab;8;Everywhereigo;['Babyxsosa']
https://open.spotify.com/track/4BmPTpXnae3IwwXAcK0byT;https://i.scdn.co/image/ab67616d00004851fa3e91827a7ce8b559270d5e;9;Matter of Time (feat. Alex Maher);['Vandelux']
https://open.spotify.com/track/41pFFOnh1glVNIlrWOpBjb;https://i.scdn.co/image/ab67616d0000485161722b55638ad4b493437e6e;10;Se Joga no Passinho;['Brisa Star', 'Thiago Jhonathan (TJ)']
https://open.spotify.com/track/0ZERGmkfuDSrLaIzEGFdiH;https://i.scdn.co/image/ab67616d0000485130911fb2575ef48115d2ec33;11;Feels Like Summer;['Samuel Jack']
https://open.spotify.com/track/5V7eE5xpJKbBCnzlO4JSNc;https://i.scdn.co/image/ab67616d000048519d205e7395e549e4a9a32fe1;12;Beethoven;['Kenndog']
https://open.spotify.com/track/3CUPWFarYwA0HJQqzje4UD;https://i.scdn.co/image/ab67616d000048519b3b249e36dfc06fba1bcfdf;13;Volta Rapariga;['Vitinho Imperador']
https://open.spotify.com/track/7Ls0AYtBWAJtt7iORFc6zC;https://i.scdn.co/image/ab67616d00004851ef9e4691b157519204e161e6;14;Não Quer Chifre;['Mc Frog', 'DJ Lucas Beat']
https://open.spotify.com/track/7uWdDOhI3wydISWM1AXN0M;https://i.scdn.co/image/ab67616d00004851e953246131832902657fc508;15;My Potna Dem;['$ilkMoney']
https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e;https://i.scdn.co/image/ab67616d00004851fa0ab3a28b5c52d8a5f97045;16;Beggin';['Måneskin']
https://open.spotify.com/track/20RGQHWvqyyacpuxMBeLsZ;https://i.scdn.co/image/ab67616d000048517386debd61d7330feec994da;17;La Historia;['El Taiger', 'DJ Conds']
https://open.spotify.com/track/7sq2z9oX2S0CvgTqCZ0ko4;https://i.scdn.co/image/ab67616d00004851a724f0a2c23fdc0ef98201b8;18;Strange;['Celeste']
https://open.spotify.com/track/2aqqXrjrPdRHU9uSeRmL3C;https://i.scdn.co/image/ab67616d000048513aecc384f36e54a29fef76c6;19;Menina Se Prepara;['Mc Pepeu', 'DJ Swat']
https://open.spotify.com/track/0C3hl4giyPEnDQf2IlWpk2;https://i.scdn.co/image/ab67616d000048513094ccef7d7d4f1c9341f4d6;20;No Llores Más;['Simone & Simaria', 'Sebastian Yatra']
https://open.spotify.com/track/4ZJwt3yb5gVCufioOQHBKS;https://i.scdn.co/image/ab67616d0000485176eaeff6a862154b05a280de;21;Not Into You;['Brooksie']
https://open.spotify.com/track/7fvaNCAFYAx6ny6C5i5Hab;https://i.scdn.co/image/ab67616d00004851d23234a109545020591b8a1a;22;Tigini;['Kikimoteleba']
https://open.spotify.com/track/1xBzdAWY3HWy93IFxEaRpI;https://i.scdn.co/image/ab67616d00004851b797a8a74ae0f0cb0c29b96c;23;Up And Away;['Cutthroat Mode', 'Stone II', 'A Dough', 'Nam$', 'Rob Lo']
https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;24;Woman;['Doja Cat']
https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW;https://i.scdn.co/image/ab67616d000048512853b5ea06ddc676b337c389;25;Bezos I;['Bo Burnham']
https://open.spotify.com/track/2eKY4TBKeXnUXMtSLj4R0n;https://i.scdn.co/image/ab67616d00004851aedeb1ddb9049f9059f94057;26;París;['Ingratax']
