url;img;position;track;artists
https://open.spotify.com/track/4lGOHDJr4PvUguwpMxjzlu;https://i.scdn.co/image/ab67616d0000485142bb249f7b313a2e2021bb91;1;FVN!;['LVL1']
https://open.spotify.com/track/2u2dQVsN7tlv5yUih9HnAI;https://i.scdn.co/image/ab67616d000048518efbc03d6d5081f4331d0051;2;Puppy Princess;['Hot Freaks']
https://open.spotify.com/track/54AtiA08i3sDfJYsBYZHPw;https://i.scdn.co/image/ab67616d0000485194e808c14deb29e37d1e9b65;3;Diamond in the rough;['Arik Ancelin']
https://open.spotify.com/track/08hB2ERJV6A1Ntu3OHgzjh;https://i.scdn.co/image/ab67616d000048518b643e1750bd1753946c559e;4;FMRN;['Lilyisthatyou']
https://open.spotify.com/track/4ZJwt3yb5gVCufioOQHBKS;https://i.scdn.co/image/ab67616d0000485176eaeff6a862154b05a280de;5;Not Into You;['Brooksie']
https://open.spotify.com/track/3DICBZOMaEWbCxwUfPGcE5;https://i.scdn.co/image/ab67616d000048519b84fb41222f14328b9bc8ab;6;Everywhereigo;['Babyxsosa']
https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX;https://i.scdn.co/image/ab67616d000048518e6551a2944764bc8e33a960;7;STAY (with Justin Bieber);['The Kid LAROI']
https://open.spotify.com/track/3CboywxfJIgvHqi2FF4exb;https://i.scdn.co/image/ab67616d00004851d9296492f954b9e422cd79f5;8;Loverboy;['A-Wall']
https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k;https://i.scdn.co/image/ab67616d00004851c77a01f0166fd8343d3a3edb;9;Pepas;['Farruko']
https://open.spotify.com/track/2eKY4TBKeXnUXMtSLj4R0n;https://i.scdn.co/image/ab67616d00004851aedeb1ddb9049f9059f94057;10;París;['Ingratax']
https://open.spotify.com/track/7sq2z9oX2S0CvgTqCZ0ko4;https://i.scdn.co/image/ab67616d00004851a724f0a2c23fdc0ef98201b8;11;Strange;['Celeste']
https://open.spotify.com/track/3ZozFqJJlDBNIm4xqxn2ZD;https://i.scdn.co/image/ab67616d000048513c6ee37ea6c8d68b7e599b41;12;Fancy Like;['Walker Hayes']
https://open.spotify.com/track/1Adhz5VVDZxhojOLfQQUxa;https://i.scdn.co/image/ab67616d000048512d18ce80f8d2e26721b725ef;13;Not Around;['Nova']
https://open.spotify.com/track/7urtwZEtOypb3r8HNi42dT;https://i.scdn.co/image/ab67616d00004851ec743375ac494655ed0db2fb;14;Duvet;['bôa']
